event_time,att,se,ci_low,ci_high
-4,-809820.2437306069,846305.8803840564,-2468579.769283357,848939.2818221435
-3,-8275965.884955115,4587613.872404007,-17267689.07486697,715757.3049567388
-2,-346919.0747925715,320243.0093641393,-974595.3731462845,280757.2235611415
-1,-1039339.4603629935,815870.3943832073,-2638445.4333540797,559766.5126280928
0,1751753.3080956095,790310.2603300734,202745.19784866576,3300761.418342553
1,1498982.595122331,579622.0145206216,362923.4466619126,2635041.7435827497
2,1110693.8865186644,252358.7890754184,616070.6599308443,1605317.1131064845
3,1764421.9281425728,662591.3476883483,465742.8866734102,3063100.969611735
4,533818.2006404751,882575.9483321209,-1196030.6580904818,2263667.0593714323
