year,leaid,lea_name,state_location,city_location,agency_type,enrollment,agency_charter_indicator,urban_centric_locale,est_population_total,est_population_5_17,est_population_5_17_pct,est_population_5_17_poverty,est_population_5_17_poverty_pct
"2020","4102310","Brookings-Harbor SD 17C","OR","Brookings","Regular local school district","1402","","Town, remote","14573","1629","0.111782","314","0.192756"
"2020","4101740","Burnt River SD 30J","OR","Unity","Charter agency","30","","Rural, remote","396","41","0.103535","6","0.146341"
"2020","4102580","Butte Falls SD 91","OR","Butte Falls","Charter agency","232","","Rural, distant","1313","193","0.146992","26","0.134715"
"2020","4102610","Camas Valley SD 21J","OR","Camas Valley","Charter agency","226","","Rural, remote","843","157","0.18624","22","0.140127"
"2020","4102640","Canby SD 86","OR","Canby","Regular local school district","4209","","Town, fringe","33825","5459","0.16139","373","0.068328"
"2020","4102780","Cascade SD 5","OR","Turner","Regular local school district","2464","","Rural, fringe","15143","2635","0.174008","334","0.126755"
"2020","4102800","Centennial SD 28J","OR","Portland","Regular local school district","5731","","Suburb, large","45999","8076","0.175569","1190","0.14735"
"2020","4105760","Central Curry SD 1","OR","Gold Beach","Regular local school district","436","","Town, remote","5587","540","0.096653","106","0.196296"
"2020","4102910","Central Linn SD 552","OR","Halsey","Regular local school district","576","","Rural, distant","5916","1052","0.177823","91","0.086502"
"2020","4102940","Central Point SD 6","OR","Central Point","Regular local school district","4730","","Suburb, midsize","32386","5120","0.158093","536","0.104688"
"2020","4102840","Central SD 13J","OR","Independence","Regular local school district","3132","","Town, fringe","25082","3879","0.154653","451","0.116267"
"2020","4103260","Clatskanie SD 6J","OR","Clatskanie","Regular local school district","651","","Rural, distant","5428","823","0.151621","115","0.139733"
"2020","4103270","Colton SD 53","OR","Colton","Regular local school district","512","","Rural, distant","4698","762","0.162197","46","0.060367"
"2020","4103330","Condon SD 25J","OR","Condon","Regular local school district","134","","Rural, remote","1121","158","0.140946","19","0.120253"
"2020","4103660","Coos Bay SD 9","OR","Coos Bay","Regular local school district","3022","","Town, remote","27798","3741","0.134578","756","0.202085"
"2020","4103390","Coquille SD 8","OR","Coquille","Regular local school district","1323","","Town, remote","7191","1030","0.143235","172","0.16699"
"2020","4103420","Corbett SD 39","OR","Corbett","Charter agency","1084","","Rural, fringe","4252","703","0.165334","41","0.058321"
"2020","4103480","Corvallis SD 509J","OR","Corvallis","Regular local school district","6462","","City, small","71328","7460","0.104587","774","0.103753"
"2020","4103540","Cove SD 15","OR","Cove","Charter agency","297","","Rural, remote","1584","312","0.19697","39","0.125"
"2020","4103690","Creswell SD 40","OR","Creswell","Regular local school district","1157","","Town, fringe","9823","1565","0.15932","199","0.127157"
"2020","4103720","Crook County SD","OR","Prineville","Regular local school district","3060","","Town, distant","25180","3623","0.143884","447","0.123378"
"2020","4103780","Crow-Applegate-Lorane SD 66","OR","Eugene","Regular local school district","249","","Rural, distant","2525","363","0.143762","31","0.085399"
"2020","4103840","Culver SD 4","OR","Culver","Regular local school district","644","","Rural, distant","4030","690","0.171216","99","0.143478"
"2020","4103860","Dallas SD 2","OR","Dallas","Regular local school district","3025","","Town, fringe","23726","4003","0.168718","440","0.109918"
"2020","4103940","David Douglas SD 40","OR","Portland","Regular local school district","9299","","City, large","70508","11862","0.168236","1956","0.164896"
"2020","4103990","Dayton SD 8","OR","Dayton","Regular local school district","938","","Town, distant","5805","1055","0.18174","88","0.083412"
"2020","4104020","Dayville SD 16J","OR","Dayville","Regular local school district","57","","Rural, remote","362","44","0.121547","12","0.272727"
"2020","4104170","Diamond SD 7","OR","Diamond","Regular local school district","3","","Rural, remote","90","15","0.166667","1","0.066667"
"2020","4104290","Double O SD 28","OR","Hines","Regular local school district","7","","Rural, remote","27","3","0.111111","0","0"
"2020","4103960","Douglas County SD 15","OR","Days Creek","Charter agency","207","","Rural, distant","1260","173","0.137302","30","0.17341"
"2020","4110710","Douglas County SD 4","OR","Roseburg","Regular local school district","5583","","Town, remote","48303","6928","0.143428","970","0.140012"
"2020","4104380","Drewsey SD 13","OR","Drewsey","Regular local school district","8","","Rural, remote","123","16","0.130081","3","0.1875"
