year,leaid,lea_name,state_location,city_location,agency_type,enrollment,agency_charter_indicator,urban_centric_locale,est_population_total,est_population_5_17,est_population_5_17_pct,est_population_5_17_poverty,est_population_5_17_poverty_pct
"2019","4109150","Oakridge SD 76","OR","Oakridge","Regular local school district","568","","Town, distant","4860","642","0.132099","218","0.339564"
"2019","4109270","Ontario SD 8C","OR","Ontario","Regular local school district","2406","","Town, distant","18147","3151","0.173638","775","0.245954"
"2019","4109330","Oregon City SD 62","OR","Oregon City","Regular local school district","8058","","Suburb, large","60904","9712","0.159464","571","0.058793"
"2019","4110890","Oregon Trail SD 46","OR","Sandy","Regular local school district","4551","","Town, fringe","31660","4810","0.151927","311","0.064657"
"2019","4109430","Paisley SD 11","OR","Paisley","Charter agency","211","","Rural, remote","494","73","0.147773","13","0.178082"
"2019","4109480","Parkrose SD 3","OR","Portland","Regular local school district","3124","","City, large","29218","4334","0.148333","633","0.146054"
"2019","4109510","Pendleton SD 16","OR","Pendleton","Regular local school district","3100","","Town, distant","22618","3625","0.160271","514","0.141793"
"2019","4109530","Perrydale SD 21","OR","Amity","Regular local school district","316","","Rural, distant","1121","182","0.162355","17","0.093407"
"2019","4109600","Philomath SD 17J","OR","Philomath","Regular local school district","1656","","Suburb, small","9425","1604","0.170186","129","0.080424"
"2019","4109630","Phoenix-Talent SD 4","OR","Phoenix","Regular local school district","2590","","Suburb, midsize","26166","3528","0.134831","588","0.166667"
"2019","4109660","Pilot Rock SD 2","OR","Pilot Rock","Regular local school district","303","","Rural, distant","2117","369","0.174303","43","0.116531"
"2019","4109690","Pine Creek SD 5","OR","Drewsey","Regular local school district","4","","Rural, remote","52","11","0.211538","5","0.454545"
"2019","4109720","Pine Eagle SD 61","OR","Halfway","Charter agency","227","","Rural, remote","1680","196","0.116667","44","0.22449"
"2019","4109750","Pinehurst SD 94","OR","Ashland","Regular local school district","15","","Rural, distant","233","29","0.124464","4","0.137931"
"2019","4109870","Pleasant Hill SD 1","OR","Pleasant Hill","Regular local school district","1039","","Rural, fringe","7049","981","0.139169","109","0.111111"
"2019","4109960","Plush SD 18","OR","Plush","Regular local school district","11","","Rural, remote","87","8","0.091954","2","0.25"
"2019","4110020","Port Orford-Langlois SD 2CJ","OR","Port Orford","Regular local school district","229","","Rural, remote","3663","313","0.085449","100","0.319489"
"2019","4110040","Portland SD 1J","OR","Portland","Regular local school district","48602","","City, large","508693","56307","0.11069","5569","0.098904"
"2019","4110080","Powers SD 31","OR","Powers","Regular local school district","117","","Rural, remote","847","116","0.136954","36","0.310345"
"2019","4110110","Prairie City SD 4","OR","Prairie City","Regular local school district","170","","Rural, remote","1168","149","0.127569","39","0.261745"
"2019","4110200","Prospect SD 59","OR","Prospect","Charter agency","213","","Rural, distant","1049","124","0.118208","32","0.258065"
"2019","4103265","Rainier SD 13","OR","Rainier","Regular local school district","920","","Rural, fringe","7851","1147","0.146096","138","0.120314"
"2019","4110350","Redmond SD 2J","OR","Redmond","Regular local school district","7470","","Town, distant","56683","8781","0.154914","974","0.110921"
"2019","4110410","Reedsport SD 105","OR","Reedsport","Regular local school district","628","","Town, remote","5968","684","0.114611","133","0.194444"
"2019","4110520","Reynolds SD 7","OR","Fairview","Regular local school district","11071","","Suburb, large","79379","13801","0.173862","2680","0.194189"
"2019","4110530","Riddle SD 70","OR","Riddle","Regular local school district","398","","Town, distant","2514","374","0.148767","85","0.227273"
"2019","4110560","Riverdale SD 51J","OR","Portland","Regular local school district","648","","Suburb, large","3131","460","0.146918","22","0.047826"
"2019","4110680","Rogue River SD 35","OR","Rogue River","Regular local school district","1102","","Suburb, small","10093","1201","0.118993","209","0.174022"
"2019","4110820","Salem-Keizer SD 24J","OR","Salem","Regular local school district","41792","","City, midsize","268560","46778","0.174181","6205","0.132648"
"2019","4108100","Santiam Canyon SD 129J","OR","Mill City","Regular local school district","4454","","Rural, distant","4443","713","0.160477","86","0.120617"
"2019","4110980","Scappoose SD 1J","OR","Scappoose","Regular local school district","2410","","Town, fringe","15456","2221","0.143698","166","0.074741"
"2019","4111040","Scio SD 95","OR","Scio","Regular local school district","863","","Rural, distant","4405","767","0.17412","89","0.116037"
"2019","4111100","Seaside SD 10","OR","Seaside","Regular local school district","1622","","Rural, fringe","13406","1609","0.120021","217","0.134866"
"2019","4111220","Sheridan SD 48J","OR","Sheridan","Regular local school district","915","","Town, distant","8040","1060","0.131841","140","0.132075"
"2019","4111250","Sherman County SD","OR","Moro","Regular local school district","267","","Rural, remote","1783","248","0.139091","44","0.177419"
"2019","4111290","Sherwood SD 88J","OR","Sherwood","Regular local school district","5273","","Suburb, large","33102","6699","0.202374","222","0.033139"
"2019","4111450","Silver Falls SD 4J","OR","Silverton","Regular local school district","3984","","Town, fringe","21153","3965","0.187444","270","0.068096"
"2019","4111490","Sisters SD 6","OR","Sisters","Regular local school district","1105","","Rural, distant","9528","1454","0.152603","104","0.071527"
"2019","4105100","Siuslaw SD 97J","OR","Florence","Regular local school district","1355","","Town, remote","15938","1455","0.091291","280","0.19244"
"2019","4105020","South Harney SD 33","OR","Fields","Regular local school district","15","","Rural, remote","164","16","0.097561","1","0.0625"
"2019","4111580","South Lane SD 45J3","OR","Cottage Grove","Regular local school district","2808","","Town, distant","20392","3034","0.148784","409","0.134806"
"2019","4111610","South Umpqua SD 19","OR","Myrtle Creek","Regular local school district","1521","","Town, distant","12759","1903","0.14915","331","0.173936"
"2019","4100021","South Wasco County SD 1","OR","Maupin","Regular local school district","226","","Rural, remote","2196","252","0.114754","44","0.174603"
"2019","4111640","Spray SD 1","OR","Spray","Regular local school district","64","","Rural, remote","344","27","0.078488","9","0.333333"
"2019","4111670","Springfield SD 19","OR","Springfield","Regular local school district","10519","","City, small","80252","12078","0.150501","1636","0.135453"
"2019","4111720","St Helens SD 502","OR","St Helens","Regular local school district","2835","","Town, fringe","21884","3554","0.162402","353","0.099325"
"2019","4111760","St Paul SD 45","OR","St Paul","Regular local school district","290","","Rural, distant","1459","324","0.22207","32","0.098765"
"2019","4111790","Stanfield SD 61","OR","Stanfield","Regular local school district","527","","Town, distant","2583","542","0.209834","54","0.099631"
"2019","4111910","Suntex SD 10","OR","Riley","Regular local school district","4","","Rural, remote","85","11","0.129412","2","0.181818"
"2019","4111940","Sutherlin SD 130","OR","Sutherlin","Regular local school district","1402","","Town, remote","9870","1429","0.144782","220","0.153954"
"2019","4111970","Sweet Home SD 55","OR","Sweet Home","Regular local school district","2323","","Town, distant","16294","2658","0.163128","445","0.167419"
"2019","4106900","Three Rivers/Josephine County SD","OR","Grants Pass","Regular local school district","4815","","Rural, fringe","50533","6474","0.128114","1439","0.222274"
"2019","4112240","Tigard-Tualatin SD 23J","OR","Tigard","Regular local school district","12625","","City, small","88748","13631","0.153592","1191","0.087374"
"2019","4112320","Tillamook SD 9","OR","Tillamook","Regular local school district","2254","","Town, distant","14226","2288","0.160832","331","0.144668"
"2019","4112360","Troy SD 54","OR","Enterprise","Regular local school district","3","","Rural, remote","41","2","0.04878","0","0"
"2019","4112540","Ukiah SD 80R","OR","Ukiah","Regular local school district","29","","Rural, remote","251","44","0.175299","4","0.090909"
"2019","4112600","Umatilla SD 6R","OR","Umatilla","Regular local school district","1425","","Town, distant","6537","1474","0.225486","304","0.206242"
"2019","4112690","Union SD 5","OR","Union","Regular local school district","373","","Rural, remote","2631","471","0.179019","40","0.084926"
"2019","4100014","Vale SD 84","OR","Vale","Regular local school district","906","","Rural, remote","4725","940","0.198942","186","0.197872"
"2019","4112930","Vernonia SD 47J","OR","Vernonia","Regular local school district","581","","Rural, distant","4014","646","0.160937","93","0.143963"
"2019","4112990","Wallowa SD 12","OR","Wallowa","Regular local school district","191","","Rural, remote","1834","295","0.160851","63","0.213559"
"2019","4113080","Warrenton-Hammond SD 30","OR","Warrenton","Regular local school district","1027","","Town, remote","6670","1008","0.151124","122","0.121032"
"2019","4113170","West Linn-Wilsonville SD 3J","OR","Tualatin","Regular local school district","9808","","Suburb, large","50370","9100","0.180663","372","0.040879"
"2019","4113350","Willamina SD 30J","OR","Willamina","Regular local school district","872","","Rural, fringe","6784","1154","0.170106","176","0.152513"
"2019","4113490","Winston-Dillard SD 116","OR","Winston","Regular local school district","1393","","Rural, fringe","10609","1574","0.148365","222","0.141042"
"2019","4113530","Woodburn SD 103","OR","Woodburn","Regular local school district","5634","","Town, fringe","29831","5940","0.199122","1066","0.179461"
"2019","4100016","Yamhill Carlton SD 1","OR","Yamhill","Regular local school district","1048","","Town, distant","7290","1222","0.167627","84","0.06874"
"2019","4113650","Yoncalla SD 32","OR","Yoncalla","Regular local school district","265","","Rural, remote","2750","380","0.138182","62","0.163158"
"2018","4100990","Adel SD 21","OR","Lakeview","Regular local school district","11","","Rural, remote","97","13","0.134021","2","0.153846"
"2018","4101020","Adrian SD 61","OR","Adrian","Regular local school district","295","","Rural, distant","1228","224","0.18241","43","0.191964"
"2018","4101200","Alsea SD 7J","OR","Alsea","Charter agency","226","","Rural, distant","1101","158","0.143506","18","0.113924"
"2018","4101230","Amity SD 4J","OR","Amity","Regular local school district","845","","Rural, distant","4764","828","0.173804","106","0.128019"
"2018","4101350","Annex SD 29","OR","Ontario","Charter agency","105","","Rural, fringe","422","57","0.135071","20","0.350877"
"2018","4101470","Arlington SD 3","OR","Arlington","Charter agency","164","","Rural, remote","816","137","0.167892","29","0.211679"
"2018","4101500","Arock SD 81","OR","Arock","Regular local school district","21","","Rural, remote","143","25","0.174825","11","0.44"
"2018","4101560","Ashland SD 5","OR","Ashland","Regular local school district","2966","","Suburb, midsize","26246","3133","0.119371","647","0.206511"
"2018","4101590","Ashwood SD 8","OR","Ashwood","Regular local school district","7","","Rural, remote","66","9","0.136364","2","0.222222"
"2018","4101620","Astoria SD 1","OR","Astoria","Regular local school district","1888","","Town, remote","14643","2059","0.140613","286","0.138902"
"2018","4101660","Athena-Weston SD 29RJ","OR","Athena","Regular local school district","584","","Rural, distant","2781","487","0.175117","54","0.110883"
"2018","4101710","Baker SD 5J","OR","Baker City","Regular local school district","3825","","Town, remote","13399","1994","0.148817","408","0.204614"
"2018","4101800","Bandon SD 54","OR","Bandon","Regular local school district","698","","Town, remote","6611","760","0.11496","163","0.214474"
"2018","4101830","Banks SD 13","OR","Banks","Regular local school district","1126","","Rural, distant","6898","1381","0.200203","70","0.050688"
"2018","4101920","Beaverton SD 48J","OR","Beaverton","Regular local school district","41070","","City, small","287817","46856","0.162798","4165","0.088889"
"2018","4101980","Bend-LaPine Administrative SD 1","OR","Bend","Regular local school district","18390","","City, small","130721","19061","0.145814","1837","0.096375"
"2018","4102040","Bethel SD 52","OR","Eugene","Regular local school district","5633","","City, midsize","40975","6676","0.162929","1276","0.191132"
"2018","4102160","Blachly SD 90","OR","Blachly","Charter agency","234","","Rural, distant","657","101","0.153729","29","0.287129"
"2018","4102190","Black Butte SD 41","OR","Camp Sherman","Regular local school district","31","","Rural, remote","296","28","0.094595","3","0.107143"
"2018","4102310","Brookings-Harbor SD 17C","OR","Brookings","Regular local school district","1557","","Town, remote","14263","1612","0.11302","338","0.209677"
"2018","4101740","Burnt River SD 30J","OR","Unity","Charter agency","62","","Rural, remote","390","39","0.1","6","0.153846"
"2018","4102580","Butte Falls SD 91","OR","Butte Falls","Charter agency","218","","Rural, distant","1301","190","0.146042","43","0.226316"
"2018","4102610","Camas Valley SD 21J","OR","Camas Valley","Charter agency","219","","Rural, remote","835","155","0.185629","24","0.154839"
"2018","4102640","Canby SD 86","OR","Canby","Regular local school district","4756","","Town, fringe","33379","5437","0.162887","498","0.091595"
"2018","4102780","Cascade SD 5","OR","Turner","Regular local school district","2381","","Rural, fringe","15042","2642","0.175642","477","0.180545"
"2018","4102800","Centennial SD 28J","OR","Portland","Regular local school district","6150","","Suburb, large","45763","8208","0.179359","1457","0.17751"
"2018","4105760","Central Curry SD 1","OR","Gold Beach","Regular local school district","488","","Town, remote","5465","532","0.097347","63","0.118421"
"2018","4102910","Central Linn SD 552","OR","Halsey","Regular local school district","659","","Rural, distant","5748","1039","0.180759","160","0.153994"
"2018","4102940","Central Point SD 6","OR","Central Point","Regular local school district","4846","","Suburb, midsize","32055","5054","0.157667","710","0.140483"
"2018","4102840","Central SD 13J","OR","Independence","Regular local school district","3232","","Town, fringe","24373","3844","0.157716","529","0.137617"
"2018","4103260","Clatskanie SD 6J","OR","Clatskanie","Regular local school district","726","","Rural, distant","5371","833","0.155092","100","0.120048"
"2018","4103270","Colton SD 53","OR","Colton","Regular local school district","614","","Rural, distant","4637","759","0.163683","53","0.069829"
"2018","4103330","Condon SD 25J","OR","Condon","Regular local school district","140","","Rural, remote","1073","145","0.135135","11","0.075862"
"2018","4103660","Coos Bay SD 9","OR","Coos Bay","Regular local school district","3271","","Town, remote","27661","3750","0.13557","851","0.226933"
"2018","4103390","Coquille SD 8","OR","Coquille","Regular local school district","1202","","Town, remote","7153","1030","0.143996","181","0.175728"
"2018","4103420","Corbett SD 39","OR","Corbett","Regular local school district","1223","","Rural, fringe","4232","715","0.168951","38","0.053147"
"2018","4103480","Corvallis SD 509J","OR","Corvallis","Regular local school district","6793","","City, small","70435","7425","0.105416","802","0.108013"
"2018","4103540","Cove SD 15","OR","Cove","Charter agency","292","","Rural, remote","1578","311","0.197085","46","0.14791"
"2018","4103690","Creswell SD 40","OR","Creswell","Regular local school district","1297","","Town, fringe","9736","1563","0.160538","263","0.168266"
"2018","4103720","Crook County SD","OR","Prineville","Regular local school district","2930","","Town, distant","23939","3412","0.142529","576","0.168816"
"2018","4103780","Crow-Applegate-Lorane SD 66","OR","Eugene","Regular local school district","246","","Rural, distant","2503","362","0.144626","41","0.11326"
"2018","4103840","Culver SD 4","OR","Culver","Regular local school district","670","","Rural, distant","3899","673","0.172608","102","0.15156"
"2018","4103860","Dallas SD 2","OR","Dallas","Regular local school district","3243","","Town, fringe","23046","3967","0.172134","503","0.126796"
"2018","4103940","David Douglas SD 40","OR","Portland","Regular local school district","10124","","City, large","70203","12076","0.172015","2479","0.205283"
"2018","4103990","Dayton SD 8","OR","Dayton","Regular local school district","1013","","Town, distant","5767","1064","0.184498","106","0.099624"
"2018","4104020","Dayville SD 16J","OR","Dayville","Regular local school district","43","","Rural, remote","363","45","0.123967","9","0.2"
"2018","4104170","Diamond SD 7","OR","Diamond","Regular local school district","5","","Rural, remote","90","14","0.155556","3","0.214286"
"2018","4104290","Double O SD 28","OR","Hines","Regular local school district","4","","Rural, remote","27","3","0.111111","1","0.333333"
"2018","4103960","Douglas County SD 15","OR","Days Creek","Charter agency","188","","Rural, distant","1244","171","0.13746","35","0.204678"
"2018","4110710","Douglas County SD 4","OR","Roseburg","Regular local school district","6104","","Town, remote","47829","6830","0.1428","1053","0.154173"
"2018","4104380","Drewsey SD 13","OR","Drewsey","Regular local school district","9","","Rural, remote","122","15","0.122951","2","0.133333"
"2018","4104410","Dufur SD 29","OR","Dufur","Regular local school district","331","","Rural, distant","1753","298","0.169994","54","0.181208"
"2018","4104500","Eagle Point SD 9","OR","Eagle Point","Regular local school district","4194","","Suburb, midsize","29918","5103","0.170566","896","0.175583"
"2018","4104530","Echo SD 5","OR","Echo","Regular local school district","286","","Rural, fringe","1016","220","0.216535","35","0.159091"
"2018","4104590","Elgin SD 23","OR","Elgin","Regular local school district","385","","Rural, remote","2699","454","0.16821","59","0.129956"
"2018","4104620","Elkton SD 34","OR","Elkton","Charter agency","251","","Rural, remote","1325","166","0.125283","29","0.174699"
"2018","4105080","Enterprise SD 21","OR","Enterprise","Regular local school district","426","","Rural, remote","3081","443","0.143784","70","0.158014"
"2018","4104700","Estacada SD 108","OR","Estacada","Regular local school district","2983","","Town, fringe","14335","2202","0.15361","164","0.074478"
"2018","4104740","Eugene SD 4J","OR","Eugene","Regular local school district","17216","","City, midsize","162084","19152","0.118161","3107","0.162229"
"2018","4100003","Falls City SD 57","OR","Falls City","Regular local school district","210","","Rural, distant","1354","230","0.169867","70","0.304348"
"2018","4104950","Fern Ridge SD 28J","OR","Elmira","Regular local school district","1483","","Rural, fringe","12896","1915","0.148496","359","0.187467"
"2018","4105160","Forest Grove SD 15","OR","Forest Grove","Regular local school district","6108","","Suburb, large","38639","7158","0.185253","889","0.124197"
"2018","4105250","Fossil SD 21J","OR","Fossil","Charter agency","755","","Rural, remote","651","76","0.116743","23","0.302632"
"2018","4105310","Frenchglen SD 16","OR","Frenchglen","Regular local school district","435","","Rural, remote","81","13","0.160494","3","0.230769"
"2018","4105430","Gaston SD 511J","OR","Gaston","Regular local school district","574","","Rural, fringe","3278","535","0.163209","48","0.08972"
"2018","4100015","Gervais SD 1","OR","Gervais","Regular local school district","1291","","Town, fringe","7037","1468","0.208612","205","0.139646"
"2018","4105610","Gladstone SD 115","OR","Gladstone","Regular local school district","2015","","Suburb, large","12185","1937","0.158966","293","0.151265"
"2018","4105640","Glendale SD 77","OR","Glendale","Regular local school district","300","","Rural, distant","3053","431","0.141173","72","0.167053"
"2018","4105670","Glide SD 12","OR","Glide","Regular local school district","744","","Rural, remote","5882","711","0.120877","153","0.21519"
"2018","4105910","Grants Pass SD 7","OR","Grants Pass","Regular local school district","6174","","City, small","38391","6272","0.163372","1199","0.191167"
"2018","4101120","Greater Albany Public SD 8J","OR","Albany","Regular local school district","9403","","City, small","66224","10867","0.164095","1370","0.12607"
"2018","4106000","Gresham-Barlow SD 10J","OR","Gresham","Regular local school district","11967","","Suburb, large","84383","14492","0.171741","1786","0.12324"
"2018","4102490","Harney County SD 3","OR","Burns","Regular local school district","858","","Town, remote","5926","842","0.142086","175","0.207838"
"2018","4103600","Harney County SD 4","OR","Crane","Regular local school district","367","","City, small","785","67","0.08535","16","0.238806"
"2018","4103630","Harney County Union High SD 1J","OR","Crane","Regular local school district","66","","Rural, remote","1403","73","0.052031","15","0.205479"
"2018","4106120","Harper SD 66","OR","Harper","Charter agency","103","","Rural, remote","282","59","0.20922","20","0.338983"
"2018","4100019","Harrisburg SD 7J","OR","Harrisburg","Regular local school district","812","","Town, fringe","5596","1096","0.195854","174","0.158759"
"2018","4106270","Helix SD 1","OR","Helix","Regular local school district","190","","Rural, distant","441","105","0.238095","11","0.104762"
"2018","4106300","Hermiston SD 8","OR","Hermiston","Regular local school district","5809","","Town, distant","27360","5308","0.194006","1042","0.196307"
"2018","4100023","Hillsboro SD 1J","OR","Hillsboro","Regular local school district","20713","","City, midsize","141361","24622","0.174178","2326","0.094468"
"2018","4106510","Hood River County SD","OR","Hood River","Regular local school district","4081","","Town, remote","23428","4165","0.177779","535","0.128451"
"2018","4106600","Huntington SD 16J","OR","Huntington","Charter agency","94","","Rural, remote","535","61","0.114019","16","0.262295"
"2018","4106630","Imbler SD 11","OR","Imbler","Charter agency","297","","Rural, distant","1419","248","0.174771","25","0.100806"
"2018","4100047","Ione SD R2","OR","Ione","Charter agency","182","","Rural, remote","655","117","0.178626","9","0.076923"
"2018","4106740","Jefferson County SD 509J","OR","Madras","Regular local school district","2982","","Town, distant","17793","3272","0.183893","712","0.217604"
"2018","4106710","Jefferson SD 14J","OR","Jefferson","Regular local school district","848","","Rural, fringe","6905","1207","0.174801","130","0.107705"
"2018","4106750","Jewell SD 8","OR","Seaside","Regular local school district","145","","Rural, remote","1085","180","0.165899","49","0.272222"
"2018","4106780","John Day SD 3","OR","Canyon City","Regular local school district","588","","Rural, remote","4855","645","0.132853","98","0.151938"
"2018","4106820","Jordan Valley SD 3","OR","Jordan Valley","Regular local school district","57","","Rural, remote","423","74","0.174941","16","0.216216"
"2018","4106870","Joseph SD 6","OR","Joseph","Regular local school district","250","","Rural, remote","2153","246","0.114259","35","0.142276"
"2018","4106930","Junction City SD 69","OR","Junction City","Regular local school district","1719","","Town, fringe","13543","2023","0.149376","308","0.152249"
"2018","4106960","Juntura SD 12","OR","Vale","Regular local school district","3","","Rural, remote","117","21","0.179487","4","0.190476"
"2018","4107020","Klamath County SD","OR","Klamath Falls","Regular local school district","6766","","Rural, fringe","43611","6795","0.155809","1523","0.224135"
"2018","4107080","Klamath Falls City Schools","OR","Klamath Falls","Regular local school district","2970","","Town, remote","24042","3715","0.154521","1080","0.290713"
"2018","4100040","Knappa SD 4","OR","Astoria","Regular local school district","502","","Rural, distant","3481","552","0.158575","67","0.121377"
"2018","4107200","La Grande SD 1","OR","La Grande","Regular local school district","2313","","Town, remote","17469","2750","0.157422","481","0.174909"
"2018","4107280","Lake County SD 7","OR","Lakeview","Regular local school district","739","","Town, remote","5206","705","0.135421","146","0.207092"
"2018","4107230","Lake Oswego SD 7J","OR","Lake Oswego","Regular local school district","7066","","Suburb, large","44954","7399","0.16459","240","0.032437"
"2018","4107380","Lebanon Community SD 9","OR","Lebanon","Regular local school district","4338","","Town, fringe","31423","4979","0.158451","806","0.16188"
"2018","4107500","Lincoln County SD","OR","Newport","Regular local school district","5551","","Town, distant","49559","6143","0.123953","1144","0.186228"
"2018","4107530","Long Creek SD 17","OR","Long Creek","Regular local school district","33","","Rural, remote","383","48","0.125326","23","0.479167"
"2018","4107590","Lowell SD 71","OR","Lowell","Regular local school district","841","","Rural, distant","2763","418","0.151285","39","0.093301"
"2018","4100042","Malheur County SD 51","OR","Vale","Regular local school district","3","","Rural, remote","","","","",""
"2018","4107710","Mapleton SD 32","OR","Mapleton","Regular local school district","158","","Rural, remote","1726","187","0.108343","36","0.192513"
"2018","4107740","Marcola SD 79J","OR","Marcola","Regular local school district","593","","Rural, fringe","2029","231","0.113849","26","0.112554"
"2018","4107980","McKenzie SD 68","OR","Finn Rock","Charter agency","197","","Rural, distant","2446","274","0.11202","63","0.229927"
"2018","4108010","McMinnville SD 40","OR","McMinnville","Regular local school district","6723","","Town, distant","42725","7038","0.164728","861","0.122336"
"2018","4108040","Medford SD 549C","OR","Medford","Regular local school district","14467","","City, small","91309","14590","0.159787","2780","0.190541"
"2018","4108160","Milton-Freewater Unified SD 7","OR","Milton-Freewater","Regular local school district","1778","","Suburb, small","12002","2327","0.193884","533","0.22905"
"2018","4108280","Mitchell SD 55","OR","Mitchell","Regular local school district","458","","Town, distant","352","36","0.102273","10","0.277778"
"2018","4108310","Molalla River SD 35","OR","Molalla","Regular local school district","2814","","Town, fringe","21188","3555","0.167784","365","0.102672"
"2018","4108430","Monroe SD 1J","OR","Monroe","Regular local school district","375","","Rural, distant","3395","524","0.154345","64","0.122137"
"2018","4108460","Monument SD 8","OR","Monument","Regular local school district","50","","Rural, remote","419","69","0.164678","11","0.15942"
"2018","4108520","Morrow SD 1","OR","Irrigon","Regular local school district","2344","","Town, distant","10729","2177","0.202908","419","0.192467"
"2018","4108550","Mt Angel SD 91","OR","Mt Angel","Regular local school district","734","","Town, fringe","4468","790","0.176813","77","0.097468"
"2018","4100640","Myrtle Point SD 41","OR","Myrtle Point","Regular local school district","517","","Rural, distant","5176","759","0.146638","189","0.249012"
"2018","4108650","Neah-Kah-Nie SD 56","OR","Rockaway Beach","Regular local school district","797","","Rural, distant","8124","883","0.10869","138","0.156285"
"2018","4108700","Nestucca Valley SD 101J","OR","Cloverdale","Regular local school district","486","","Rural, remote","4571","625","0.136732","103","0.1648"
"2018","4108720","Newberg SD 29J","OR","Newberg","Regular local school district","5007","","Town, fringe","36651","5910","0.161251","634","0.107276"
"2018","4108820","North Bend SD 13","OR","North Bend","Regular local school district","4245","","Town, remote","16377","2178","0.132991","409","0.187787"
"2018","4108830","North Clackamas SD 12","OR","Milwaukie","Regular local school district","17262","","Suburb, large","125275","19231","0.15351","1596","0.082991"
"2018","4104350","North Douglas SD 22","OR","Drain","Regular local school district","338","","Rural, remote","2728","399","0.146261","53","0.132832"
"2018","4111400","North Lake SD 14","OR","Silver Lake","Regular local school district","224","","Rural, remote","1994","313","0.156971","61","0.194888"
"2018","4108880","North Marion SD 15","OR","Aurora","Regular local school district","1887","","Rural, fringe","11140","2115","0.189856","268","0.126714"
"2018","4108940","North Powder SD 8J","OR","North Powder","Charter agency","270","","Rural, remote","793","157","0.197982","44","0.280255"
"2018","4100020","North Santiam SD 29J","OR","Stayton","Regular local school district","2257","","Town, fringe","17385","3033","0.174461","336","0.110781"
"2018","4100048","North Wasco County SD 21","OR","The Dalles","Regular local school district","3015","","Town, remote","21561","3404","0.157878","624","0.183314"
"2018","4109000","Nyssa SD 26","OR","Nyssa","Regular local school district","1260","","Town, distant","4944","1237","0.250202","313","0.253032"
"2018","4109120","Oakland SD 1","OR","Oakland","Regular local school district","614","","Rural, fringe","3150","449","0.14254","118","0.262806"
"2018","4109150","Oakridge SD 76","OR","Oakridge","Regular local school district","578","","Town, distant","4829","641","0.13274","360","0.561622"
"2018","4109270","Ontario SD 8C","OR","Ontario","Regular local school district","2485","","Town, distant","18238","3147","0.172552","927","0.294566"
"2018","4109330","Oregon City SD 62","OR","Oregon City","Regular local school district","8033","","Suburb, large","60584","9757","0.161049","693","0.071026"
"2018","4110890","Oregon Trail SD 46","OR","Sandy","Regular local school district","4477","","Town, fringe","31499","4834","0.153465","355","0.073438"
"2018","4109430","Paisley SD 11","OR","Paisley","Charter agency","215","","Rural, remote","495","72","0.145455","14","0.194444"
"2018","4109480","Parkrose SD 3","OR","Portland","Regular local school district","3123","","City, large","29177","4368","0.149707","630","0.144231"
"2018","4109510","Pendleton SD 16","OR","Pendleton","Regular local school district","3140","","Town, distant","22492","3600","0.160057","668","0.185556"
"2018","4109530","Perrydale SD 21","OR","Amity","Regular local school district","309","","Rural, distant","1113","183","0.16442","12","0.065574"
"2018","4109600","Philomath SD 17J","OR","Philomath","Regular local school district","1632","","Suburb, small","9329","1590","0.170436","138","0.086792"
"2018","4109630","Phoenix-Talent SD 4","OR","Phoenix","Regular local school district","2589","","Suburb, midsize","25991","3498","0.134585","833","0.238136"
"2018","4109660","Pilot Rock SD 2","OR","Pilot Rock","Regular local school district","317","","Rural, distant","2105","367","0.174347","49","0.133515"
"2018","4109690","Pine Creek SD 5","OR","Drewsey","Regular local school district","8","","Rural, remote","51","11","0.215686","4","0.363636"
"2018","4109720","Pine Eagle SD 61","OR","Halfway","Charter agency","206","","Rural, remote","1668","190","0.113909","32","0.168421"
"2018","4109750","Pinehurst SD 94","OR","Ashland","Regular local school district","21","","Rural, distant","231","29","0.125541","5","0.172414"
"2018","4109870","Pleasant Hill SD 1","OR","Pleasant Hill","Regular local school district","1047","","Rural, fringe","7004","980","0.13992","172","0.17551"
"2018","4109960","Plush SD 18","OR","Plush","Regular local school district","8","","Rural, remote","87","8","0.091954","3","0.375"
"2018","4110020","Port Orford-Langlois SD 2CJ","OR","Port Orford","Regular local school district","212","","Rural, remote","3650","317","0.086849","125","0.394322"
"2018","4110040","Portland SD 1J","OR","Portland","Regular local school district","48710","","City, large","508084","56748","0.11169","5342","0.094135"
"2018","4110080","Powers SD 31","OR","Powers","Regular local school district","112","","Rural, remote","846","116","0.137116","25","0.215517"
"2018","4110110","Prairie City SD 4","OR","Prairie City","Regular local school district","154","","Rural, remote","1165","152","0.130472","34","0.223684"
"2018","4110200","Prospect SD 59","OR","Prospect","Charter agency","226","","Rural, distant","1043","123","0.117929","27","0.219512"
"2018","4103265","Rainier SD 13","OR","Rainier","Regular local school district","899","","Rural, fringe","7853","1164","0.148224","176","0.151203"
"2018","4110350","Redmond SD 2J","OR","Redmond","Regular local school district","7540","","Town, distant","55090","8675","0.15747","932","0.107435"
"2018","4110410","Reedsport SD 105","OR","Reedsport","Regular local school district","686","","Town, remote","5929","680","0.114691","160","0.235294"
"2018","4110520","Reynolds SD 7","OR","Fairview","Regular local school district","11122","","Suburb, large","79289","13912","0.175459","2504","0.179989"
"2018","4110530","Riddle SD 70","OR","Riddle","Regular local school district","400","","Town, distant","2498","373","0.149319","98","0.262735"
